"SetuVillageId","PortalLocationCode","PortalOriginalVillageId","SetuVillageName","PortalVillageName","SetuBlockId","SetuBlockName","PortalBlockId","PortalBlockName","SetuDistrictId","SetuDistrictName","PortalDistrictId","PortalDistrictName","OverallStatus","DifferenceDetails"
"12505081","","","Khamarsahi","","12505","Nayagarh","","","125","Nayagarh","","","Only in Setu_Odisha","Missing from OSPBCR_PORTAL"
"12505082","","","Khedaberana","","12505","Nayagarh","","","125","Nayagarh","","","Only in Setu_Odisha","Missing from OSPBCR_PORTAL"
"12505083","​130060016001600017","555845","Khedapada","KHEDAPADA","12505","Nayagarh","130060","ASTARANGA","125","Nayagarh","26","PURI","Different","Village text/case differs; Block assignment/name differs; District assignment/name differs"
"12505084","​130030019001900086","555914","Khuntubandha","KHUNTUBANDHA","12505","Nayagarh","130030","PURI","125","Nayagarh","26","PURI","Different","Village text/case differs; Block assignment/name differs; District assignment/name differs"
"12505085","​130060016001600038","555866","Kodiekahania","KODIEKAHANIA","12505","Nayagarh","130060","ASTARANGA","125","Nayagarh","26","PURI","Different","Village text/case differs; Block assignment/name differs; District assignment/name differs"
"12505086","​130070020002000072","555900","Kosaka","KOSAKA","12505","Nayagarh","130070","NIMAPARA","125","Nayagarh","26","PURI","Different","Village text/case differs; Block assignment/name differs; District assignment/name differs"
"12505087","","","Kridaspur","","12505","Nayagarh","","","125","Nayagarh","","","Only in Setu_Odisha","Missing from OSPBCR_PORTAL"
"12505088","","","Krushnadeipur","","12505","Nayagarh","","","125","Nayagarh","","","Only in Setu_Odisha","Missing from OSPBCR_PORTAL"
"12505089","​130020022002200032","555860","Krushnaprasad","KRUSHNA PRASAD","12505","Nayagarh","130020","BRAHMAGIRI","125","Nayagarh","26","PURI","Different","Village text/case differs; Block assignment/name differs; District assignment/name differs"
"12505090","","","Kshetribarpur","","12505","Nayagarh","","","125","Nayagarh","","","Only in Setu_Odisha","Missing from OSPBCR_PORTAL"
"12505091","","","Ladukeshwarpur","","12505","Nayagarh","","","125","Nayagarh","","","Only in Setu_Odisha","Missing from OSPBCR_PORTAL"
"12505092","","","Ladukeswarpur","","12505","Nayagarh","","","125","Nayagarh","","","Only in Setu_Odisha","Missing from OSPBCR_PORTAL"
"12505093","​130060016001600086","555914","Lakshmiprasad","LAKSHMIPRASAD","12505","Nayagarh","130060","ASTARANGA","125","Nayagarh","26","PURI","Different","Village text/case differs; Block assignment/name differs; District assignment/name differs"
"12505094","","","Lathipada","","12505","Nayagarh","","","125","Nayagarh","","","Only in Setu_Odisha","Missing from OSPBCR_PORTAL"
"12505095","​130060016001600166","555994","Lausena","LAUSENA","12505","Nayagarh","130060","ASTARANGA","125","Nayagarh","26","PURI","Different","Village text/case differs; Block assignment/name differs; District assignment/name differs"
"12505096","​130110026002600018","11277","Lekhanpur","LEKHANPUR","12505","Nayagarh","130110","SATYABADI","125","Nayagarh","26","PURI","Different","Village text/case differs; Block assignment/name differs; District assignment/name differs"
"12505097","​130060016001600133","555961","Lenkudipada","LENKUDIPADA","12505","Nayagarh","130060","ASTARANGA","125","Nayagarh","26","PURI","Different","Village text/case differs; Block assignment/name differs; District assignment/name differs"
"12505098","​130060016001600085","555913","Mahindrapur","MAHINDRAPUR","12505","Nayagarh","130060","ASTARANGA","125","Nayagarh","26","PURI","Different","Village text/case differs; Block assignment/name differs; District assignment/name differs"
"12505099","​130060016001600032","556307","Malatipur","MALATIPUR","12505","Nayagarh","130060","ASTARANGA","125","Nayagarh","26","PURI","Different","Village text/case differs; Block assignment/name differs; District assignment/name differs"
"12505100","​130310017001700078","555906","Manapur","MANAPUR","12505","Nayagarh","130170","RANPUR","125","Nayagarh","24","NAYAGARH","Different","Village text/case differs; Block assignment/name differs"
"12505101","​130060016001600169","555997","Mandhatapur","MANDHATAPUR","12505","Nayagarh","130060","ASTARANGA","125","Nayagarh","26","PURI","Different","Village text/case differs; Block assignment/name differs; District assignment/name differs"
"12505102","","","Mangarajpur","","12505","Nayagarh","","","125","Nayagarh","","","Only in Setu_Odisha","Missing from OSPBCR_PORTAL"
"12505103","","","Mankapali","","12505","Nayagarh","","","125","Nayagarh","","","Only in Setu_Odisha","Missing from OSPBCR_PORTAL"
"12505104","​130060016001600023","555851","Melamba","MELAMBA","12505","Nayagarh","130060","ASTARANGA","125","Nayagarh","26","PURI","Different","Village text/case differs; Block assignment/name differs; District assignment/name differs"
"12505105","","","Mrutyunjaypur","","12505","Nayagarh","","","125","Nayagarh","","","Only in Setu_Odisha","Missing from OSPBCR_PORTAL"
"12505106","​130100026002600177","11436","Muktapur","MUKTAPUR","12505","Nayagarh","130100","KANAS","125","Nayagarh","26","PURI","Different","Village text/case differs; Block assignment/name differs; District assignment/name differs"
"12505107","​130060016001600138","555966","Muthagadia","MUTHAGADIA","12505","Nayagarh","130060","ASTARANGA","125","Nayagarh","26","PURI","Different","Village text/case differs; Block assignment/name differs; District assignment/name differs"
"12505108","","","Nabaghanpur","","12505","Nayagarh","","","125","Nayagarh","","","Only in Setu_Odisha","Missing from OSPBCR_PORTAL"
"12505109","​040200019001900043","969522","Nachhipur","NACHHIPUR","12505","Nayagarh","040200","KHUNTA","125","Nayagarh","22","MAYURBHANJ","Different","Village text/case differs; Block assignment/name differs; District assignment/name differs"
"12505110","​130060016001600157","555985","Nadiali","NADIALI","12505","Nayagarh","130060","ASTARANGA","125","Nayagarh","26","PURI","Different","Village text/case differs; Block assignment/name differs; District assignment/name differs"
"12505111","​130060016001600162","555990","Nagamunduli","NAGAMUNDULI","12505","Nayagarh","130060","ASTARANGA","125","Nayagarh","26","PURI","Different","Village text/case differs; Block assignment/name differs; District assignment/name differs"
"12505112","​130240006000600119","4461","Nagapur","NAGAPUR","12505","Nayagarh","130240","KHURDA","125","Nayagarh","19","KHURDA","Different","Village text/case differs; Block assignment/name differs; District assignment/name differs"
"12505113","​130310017001700121","555949","Nandapur","NANDA PUR","12505","Nayagarh","130170","RANPUR","125","Nayagarh","24","NAYAGARH","Different","Village text/case differs; Block assignment/name differs"
"12505114","​130060016001600123","555951","Narasinghprasad","NARASINGHPRASAD","12505","Nayagarh","130060","ASTARANGA","125","Nayagarh","26","PURI","Different","Village text/case differs; Block assignment/name differs; District assignment/name differs"
"12505115","​130060016001600093","555921","Natugaon","NATUGAON","12505","Nayagarh","130060","ASTARANGA","125","Nayagarh","26","PURI","Different","Village text/case differs; Block assignment/name differs; District assignment/name differs"
"12505116","​030040012001200077","556436","Nayagarh","NAYAGARH","12505","Nayagarh","030040","GHATGAON","125","Nayagarh","18","KEONJHAR","Different","Village text/case differs; Block assignment/name differs; District assignment/name differs"
"","​130160013001300042","11306","","NIRANJANPUR","","","130160","NAYAGARH","","","24","NAYAGARH","Only in OSPBCR_PORTAL","Missing from Setu_Odisha"
"12505117","​130050016001600026","555854","Notar","NOTAR","12505","Nayagarh","130050","KAKATPUR","125","Nayagarh","26","PURI","Different","Village text/case differs; Block assignment/name differs; District assignment/name differs"
"12505118","​130080021002100059","555887","Nuagaon","NUAGAON","12505","Nayagarh","130080","PIPLI","125","Nayagarh","26","PURI","Different","Village text/case differs; Block assignment/name differs; District assignment/name differs"
"","​130160013001300017","11276","","OGAL PADA","","","130160","NAYAGARH","","","24","NAYAGARH","Only in OSPBCR_PORTAL","Missing from Setu_Odisha"
